nome,nome_pesquisa,nome_social,nome_social_pesquisa,nascimento,cpf,rg,data_emissao,orgao_emissor,uf_emissao,filiacao,escolaridade,email,telefone,celular,cep,rua,numero,complemento,bairro,cidade,uf,pcd,ps,ja_sorteado,id_turma
Kevin Souza,KEVIN SOUZA,,,1959-09-20,14736898801,351642120,1996-02-17,DETRAN,SP,João Felipe Lima,2,emanuellamonteiro@example.com,+55 (041) 6181 4180,+55 (076) 97703 3597,64748-505,Campo Ferreira,54,,Planalto,Pastor,RS,False,False,False,26
Dr. Emanuel Macedo,DR. EMANUEL MACEDO,,,1964-07-09,24328765710,711225682,1999-08-10,SSP,PR,Sarah da Cruz,5,fernandestheo@example.org,(084) 7189 7475,+55 16 92942-0317,61490-174,Trecho Oliveira,169,,Independência,Vargas,SP,False,False,False,26
Sra. Maria Júlia Moreira,SRA. MARIA JÚLIA MOREIRA,,,1967-06-25,07585275358,461469255,2005-01-22,DETRAN,SP,Dra. Milena Montenegro,7,pireslucas@example.org,(021) 4233 1686,+55 (53) 95786 1137,49538077,Alameda de da Costa,5,,Senhor Dos Passos,Cavalcante de Andrade,PR,False,False,False,26
Maria Leão,MARIA LEÃO,,,1948-03-15,15315873722,530387412,2002-10-13,DETRAN,RJ,Dr. Vitor Gabriel Fonseca,7,miguelazevedo@example.com,+55 41 5318-4489,+55 (52) 9 6020 9717,79997-402,Favela de Viana,88,,Conjunto Paulo Vi,Jesus da Serra,RJ,False,False,False,26
Dom Cassiano,DOM CASSIANO,,,2005-10-31,08075627857,446816580,2003-03-07,DETRAN,SP,Liz Porto,7,pastorbenjamim@example.net,0800 302 1643,+55 (91) 9 9925 2512,64607194,Largo Gomes,77,,Novo Aarão Reis,Barbosa,RJ,False,False,False,26
Marcela Novaes,MARCELA NOVAES,,,1983-03-16,46370294730,,,,,Ana Julia Fernandes,7,almeidaana-julia@example.org,(031) 3911-4611,+55 06 97415-6222,18989632,Sítio Rezende,73,,Andiroba,Sousa da Praia,RS,False,False,False,26
Isis Sales,ISIS SALES,,,1959-06-19,64241108954,453680794,2000-11-07,SSP,PR,Thales da Cruz,4,pachecoana-carolina@example.net,+55 (084) 3328-8608,+55 57 90336-4957,53986614,Quadra Nogueira,53,,Vila Madre Gertrudes 2ª Seção,Azevedo,SP,True,False,False,26
Hadassa Pimenta,HADASSA PIMENTA,,,1964-09-13,85517628850,,,,,Carlos Eduardo Nunes,2,eduardo86@example.net,(031) 9023-6774,+55 06 95158 5279,87265-289,Trecho de Oliveira,31,,Vila Independencia 3ª Seção,da Rocha,SP,True,False,False,26
Aurora Mendonça,AURORA MENDONÇA,,,1974-01-26,23308906481,,,,,Isis Oliveira,2,olima@example.org,+55 61 3727-0017,+55 81 99127-0555,29833124,Campo da Rosa,8,,Vila Maloca,Dias de Vieira,MG,False,False,False,26
Isabella Casa Grande,ISABELLA CASA GRANDE,,,1992-10-20,96189156207,105922325,1996-11-24,OAB,RJ,Henry Gabriel Fonseca,4,vgomes@example.net,+55 84 8813-6442,+55 (23) 96829 7149,53420-634,Largo Costela,352,,Cenaculo,Carvalho,SP,False,False,False,26
Bruno Sousa,BRUNO SOUSA,Milena Andrade,MILENA ANDRADE,1986-08-01,14135064701,529245995,2004-07-30,OAB,SP,Bernardo Martins,2,catarina31@example.com,(051) 3568-9013,+55 (19) 9 4941 2816,35564-363,Feira de Nunes,5,,Ademar Maldonado,Fernandes,SP,False,True,False,26
Dr. Davi Lucca Fogaça,DR. DAVI LUCCA FOGAÇA,Davi Lucca Sousa,DAVI LUCCA SOUSA,1958-11-19,58462317487,391279207,2000-10-17,SSP,SP,Henrique Siqueira,2,ribeirolorenzo@example.com,81 3819 7135,+55 (002) 93481 2206,28872-463,Praça de Pinto,10,,Renascença,Fernandes,SP,False,False,False,26
Luiza Machado,LUIZA MACHADO,,,1972-10-01,19738925290,397921630,1999-09-02,DETRAN,SP,Valentim Farias,5,camargomatteo@example.com,11 3031 6434,+55 (48) 9 3641 0906,44870-028,Trecho Lucas da Costa,1,,Saudade,Leão,PR,True,False,False,26
Ayla Camargo,AYLA CAMARGO,,,1956-08-01,35737294951,622033709,2004-06-29,IFP,PR,Mirella Cardoso,5,isadora94@example.com,+55 11 6708-7281,+55 (04) 90497-2963,92806245,Conjunto Anthony Rocha,73,,Aarão Reis,Cavalcanti,SP,True,False,False,26
Cecília Cardoso,CECÍLIA CARDOSO,Melina Azevedo,MELINA AZEVEDO,1968-05-03,64918784658,934196854,1995-09-25,DETRAN,RS,Maria Luiza da Mota,7,anthony-gabrielguerra@example.net,(031) 2373 1678,+55 (88) 9 1623-8539,86043504,Trecho da Cunha,21,,Vila Nova Paraíso,Moraes de Fernandes,SP,False,False,False,26
Bella Marques,BELLA MARQUES,,,1974-02-05,95569578633,374298749,1995-02-16,DETRAN,SP,Maria Liz Mendonça,2,ecarvalho@example.net,(071) 8694 8109,+55 (40) 9 2722 3018,22182-803,Fazenda Eduardo Vargas,87,,Cinquentenário,Moreira das Flores,RS,True,False,False,26
Pedro da Rosa,PEDRO DA ROSA,,,1964-04-08,08699322763,942422307,1999-09-04,SSP,MG,Cauã Rezende,5,erickcaldeira@example.org,+55 11 1949 1072,+55 (54) 9 7453 2345,08600-122,Lago de da Rocha,509,,Corumbiara,da Costa de Montenegro,MG,False,False,False,26
Juliana Azevedo,JULIANA AZEVEDO,,,2001-03-02,88041346316,309708714,1999-04-09,DETRAN,RS,Laís Novaes,3,freitasvitor-hugo@example.org,+55 84 8986-8221,+55 (38) 9 0115-0822,56460-409,Setor Ribeiro,161,,Vila Oeste,Machado do Norte,SP,False,False,False,26
Anthony Cavalcante,ANTHONY CAVALCANTE,Luara Duarte,LUARA DUARTE,1970-10-08,25788718686,,,,,Vitor Hugo das Neves,2,stellacardoso@example.net,(031) 7788-8019,+55 82 9 9476-5670,04941661,Ladeira Cardoso,5,,Grotinha,Brito de Goiás,RS,False,False,False,26
Sr. Emanuel Cardoso,SR. EMANUEL CARDOSO,Maria Vitória Nunes,MARIA VITÓRIA NUNES,1983-07-28,50337957835,,,,,Ana Beatriz Machado,6,fogacamaria-julia@example.net,+55 (011) 6415 6726,+55 (004) 98234 6926,72213275,Chácara de da Conceição,908,,Canadá,Oliveira Paulista,PR,False,False,False,26
Eloá das Neves,ELOÁ DAS NEVES,,,1990-09-15,12080721453,653538112,1997-06-29,OAB,RJ,Isis Pastor,2,jda-cruz@example.org,+55 (081) 9032 8000,+55 (80) 9 7618 3910,95839-931,Ladeira Cunha,496,,Cidade Jardim,Pereira,SP,False,False,False,26
Sophia Fernandes,SOPHIA FERNANDES,,,1955-10-23,12996202643,608245131,1998-02-04,IFP,PR,Isabelly Sales,5,maria-liz96@example.org,21 8530-1268,+55 68 9 0456 4330,03032242,Largo Rael Ferreira,80,,Vila São Gabriel Jacui,Fonseca do Norte,SP,False,False,False,26
Sr. Anthony da Cruz,SR. ANTHONY DA CRUZ,,,1969-02-11,69868454131,328485299,2004-08-22,SSP,PR,Sra. Stephany Albuquerque,5,nfreitas@example.com,+55 11 7038 9260,+55 (26) 9 0555-3511,15357-778,Trecho Nunes,3,,Parque São José,Garcia,MG,False,False,False,26
Amanda Pinto,AMANDA PINTO,,,1997-08-14,97487783715,336986932,2005-06-20,DETRAN,SP,Felipe da Rocha,7,nathancunha@example.org,(041) 4575-8034,+55 15 95654 5382,65641603,Aeroporto Manuela Siqueira,365,,São Tomaz,Dias,RS,True,False,False,26
Ian Abreu,IAN ABREU,,,1988-10-05,72087239150,794402368,1995-11-07,IFP,RJ,Sr. Theo Casa Grande,2,malves@example.net,+55 (041) 1365-0727,+55 06 9 7528 6719,93370-429,Loteamento de Borges,53,,Vila Nova Paraíso,Fernandes da Prata,RJ,False,True,False,26
Enzo Gabriel Santos,ENZO GABRIEL SANTOS,,,1945-03-15,25116864308,,,,,Benjamim Fonseca,5,usilveira@example.com,+55 61 5043 0545,+55 19 90488 6229,30065-250,Distrito de das Neves,67,,Carlos Prates,Cassiano das Pedras,RS,False,False,False,26
Luara Azevedo,LUARA AZEVEDO,,,1973-04-10,32924321387,338213887,2000-04-05,SSP,MG,Maria Sophia da Rocha,3,biancadias@example.org,+55 11 9566 1285,+55 34 9 6948 2681,33005-558,Fazenda de Cunha,32,,Conjunto Capitão Eduardo,Peixoto,PR,False,True,False,26
Arthur Miguel Marques,ARTHUR MIGUEL MARQUES,,,1993-09-08,60674732405,635988441,1995-03-28,SSP,SP,Dra. Olivia Barbosa,3,melina98@example.org,+55 (031) 9469 8027,+55 (068) 92363 9631,80327702,Residencial de Castro,41,,Minaslandia,Alves,PR,True,False,False,26
Ana Vitória Azevedo,ANA VITÓRIA AZEVEDO,,,2003-07-07,48659158938,141776370,2000-10-02,DETRAN,MG,Maria Fernanda Pereira,7,gael47@example.org,61 7822-5764,+55 (071) 96235 8791,78765-569,Núcleo Pinto,56,,Vila Bandeirantes,Jesus,SP,False,False,False,26
Fernanda Carvalho,FERNANDA CARVALHO,,,1973-11-29,34315224758,287000049,1995-10-23,DETRAN,MG,Ravi da Costa,5,cavalcantihadassa@example.org,0300 123 9943,+55 (024) 98514 4337,50601704,Estrada Rafaela Carvalho,19,,Bacurau,Souza,RS,False,False,False,26
Srta. Nina Lima,SRTA. NINA LIMA,Marina Moreira,MARINA MOREIRA,1999-02-19,35828329022,601515105,1998-02-15,IFP,RJ,Ana Beatriz Camargo,7,ayllarios@example.com,+55 81 4126 8946,+55 (095) 94122 9828,13858-598,Lagoa Pacheco,887,,Vitoria,Vasconcelos de Fernandes,SP,False,False,False,26
Dr. Marcos Vinicius Gomes,DR. MARCOS VINICIUS GOMES,Samuel Farias,SAMUEL FARIAS,1976-11-30,24305336340,785007424,2003-09-10,IFP,RJ,Ian Teixeira,4,pda-rocha@example.org,+55 (084) 2683-9306,+55 27 93931-6302,25247-672,Lagoa de Silveira,85,,Alto Barroca,Fernandes Alegre,PR,False,False,False,26
João Lucas Fonseca,JOÃO LUCAS FONSECA,,,1958-11-08,15720321543,,,,,Ryan Brito,2,kmoraes@example.com,41 1246-8379,+55 35 96856-5630,59271-260,Esplanada Campos,3,,Conjunto Capitão Eduardo,Barbosa,SP,True,True,False,26
Gustavo Henrique Alves,GUSTAVO HENRIQUE ALVES,,,1949-08-21,25805569078,564979581,2003-02-25,IFP,RJ,Rodrigo Souza,5,ian39@example.com,11 6436 9310,+55 (74) 9 9714-9644,69480-772,Praça de Borges,34,,Ermelinda,Mendes,MG,False,False,False,26
Gabrielly Cunha,GABRIELLY CUNHA,,,1960-07-09,95955104674,,,,,Sarah Campos,6,gaelviana@example.net,0500-385-0428,+55 (26) 9 3414 4409,23958314,Chácara Ribeiro,953,,Etelvina Carneiro,Moraes,MG,False,True,False,26
Henrique Macedo,HENRIQUE MACEDO,,,1984-06-02,28897348629,889989910,1997-06-05,IFP,MG,Samuel Freitas,7,guilherme73@example.net,0900-835-9430,+55 (53) 90547-6289,74382662,Campo Guerra,85,,Jardim Guanabara,Cavalcante do Norte,SP,True,False,False,26
Luiz Otávio Rocha,LUIZ OTÁVIO ROCHA,,,1980-05-01,17878720177,893618372,2002-09-25,IFP,PR,Lucca Nascimento,5,sofia81@example.com,+55 (071) 6457 0671,+55 34 9 4999 1035,55820664,Esplanada de Rocha,93,,Vila Jardim Montanhes,Macedo,RJ,True,False,False,26
Liz Abreu,LIZ ABREU,Bernardo Azevedo,BERNARDO AZEVEDO,1985-10-03,81748305883,,,,,Yasmin da Rocha,4,araujovitor-hugo@example.net,(051) 5761 2457,+55 (99) 97676 1441,40940289,Viela da Paz,28,,Vila Da Ária,Santos,PR,True,False,False,26
Murilo Pacheco,MURILO PACHECO,,,1965-09-02,12153584825,328615736,2005-03-02,SSP,PR,Laís Martins,5,sda-cruz@example.net,+55 (031) 2662-1559,+55 (54) 9 7250-9992,74193-762,Viela Melissa da Conceição,98,,Oeste,Carvalho do Campo,MG,False,False,False,26
Stephany Vasconcelos,STEPHANY VASCONCELOS,,,1971-01-20,20808272276,572010890,2005-09-22,DETRAN,SP,Carolina Pimenta,5,vnunes@example.net,0300-843-4471,+55 (028) 91434-2450,48420050,Trecho Abreu,80,,Penha,da Rocha,PR,True,True,False,26
Antony Rezende,ANTONY REZENDE,,,1953-03-11,63929275147,391541220,2002-12-15,IFP,SP,Luiza Sá,7,mcasa-grande@example.com,+55 81 4178-7847,+55 (23) 9 7004 7916,02570-053,Alameda Borges,50,,Barroca,Costela Alegre,PR,False,False,False,26
Gustavo Sousa,GUSTAVO SOUSA,,,1966-02-09,30131985590,269837224,2005-04-03,IFP,PR,Gael Azevedo,6,sophiecorreia@example.org,+55 (051) 2078 6166,+55 (029) 90609 9158,34353-868,Pátio Melissa Peixoto,16,,Grajaú,Montenegro do Norte,PR,False,False,False,26
Vitória Barros,VITÓRIA BARROS,,,1982-08-30,01993521194,126146367,2005-01-02,SSP,RS,Sra. Eduarda Jesus,4,macedogiovanna@example.com,84 2435 4381,+55 15 97854 5834,04432-900,Loteamento Moreira,83,,Lourdes,Porto,RJ,False,False,False,26
Fernanda da Luz,FERNANDA DA LUZ,,,1945-10-05,20079139922,421112474,1999-03-22,DETRAN,MG,Isabela Oliveira,3,cecilia62@example.net,(021) 8617 7184,+55 (62) 9 8718-7028,79539-199,Alameda de Leão,7,,Lorena,Cassiano,RJ,True,False,False,26
Mariana Andrade,MARIANA ANDRADE,,,1954-07-20,97674809862,941113493,1994-10-23,SSP,RS,Ian Rocha,3,wguerra@example.org,+55 (081) 8176-4839,+55 (032) 96137 5644,59980865,Lago de Monteiro,33,,Alto Das Antenas,Monteiro,PR,False,False,False,26
Aylla Dias,AYLLA DIAS,,,2011-12-11,27127513708,783507639,1998-12-24,IFP,RS,Benjamim Cassiano,6,gazevedo@example.net,(011) 3801-2094,+55 (62) 9 3639-9116,91814659,Conjunto de Cunha,18,,Bairro Das Indústrias Ii,Casa Grande da Prata,RJ,False,True,False,26
Liam Mendes,LIAM MENDES,,,1975-10-17,80195591593,841897870,1995-09-25,SSP,RS,Maria Flor Campos,6,mendoncahenrique@example.org,(061) 0169-2860,+55 (078) 91927 9517,04749712,Vale Pastor,38,,São Cristóvão,Castro,SP,True,False,False,26
Alícia Peixoto,ALÍCIA PEIXOTO,,,1998-11-07,91419427440,549661306,2004-12-20,OAB,RS,Bruno Sousa,3,albuquerquelunna@example.net,+55 (081) 9698-1139,+55 86 9 7204 5206,52522-329,Conjunto de Teixeira,82,,Fernão Dias,Guerra Paulista,PR,True,False,False,26
Alice Rodrigues,ALICE RODRIGUES,,,1968-03-17,33737085323,694673747,1997-10-11,DETRAN,RJ,Bianca Novais,7,rafaelsouza@example.com,(084) 7011 6831,+55 (31) 9 5514-2544,86899-443,Passarela de da Cunha,66,,Fernão Dias,Novais Verde,PR,False,False,False,26
José Rezende,JOSÉ REZENDE,,,1985-05-16,22477142933,291042618,1996-12-13,DETRAN,RJ,Calebe Lima,7,henry43@example.net,+55 51 9156 6803,+55 55 9 0517 1162,22607-094,Núcleo de da Paz,37,,Vila Betânia,Fonseca,SP,False,False,False,26
Bella Andrade,BELLA ANDRADE,,,1977-03-05,37002882473,521459844,1997-10-10,OAB,RS,Diego Mendes,5,laviniamartins@example.com,51 3686 7655,+55 (026) 90687 8445,33532-563,Chácara Casa Grande,478,,Céu Azul,Fonseca,RJ,True,True,False,26
Dr. Miguel Pinto,DR. MIGUEL PINTO,,,1960-04-30,70315024038,528432390,1998-07-25,IFP,RS,Dr. Mateus Freitas,3,antonellamarques@example.net,+55 71 2478 3041,+55 (006) 96994 4668,04780-557,Condomínio Maria Clara Costa,83,,Jardim Do Vale,Nascimento,SP,False,False,False,26
Breno Rios,BRENO RIOS,,,1946-10-28,71384813306,716005861,2005-11-12,DETRAN,MG,Rael Alves,7,stellaborges@example.com,0800 457 6371,+55 (97) 98389-1520,66190-459,Lagoa de Azevedo,25,,Mantiqueira,Pacheco,RJ,False,False,False,26
Luísa da Cunha,LUÍSA DA CUNHA,,,1992-03-17,05753011985,726678885,1998-07-26,DETRAN,RS,Davi Luiz da Cunha,6,iteixeira@example.net,21 0540-8198,+55 78 96538 1990,42467835,Esplanada Maria Eduarda Vargas,2,,Ventosa,Sá de Teixeira,SP,False,True,False,26
Vinícius Campos,VINÍCIUS CAMPOS,,,1985-02-14,27198373690,,,,,Vinícius Leão,4,antonella28@example.net,(011) 9616 9640,+55 48 91406-6622,70582-701,Avenida de Montenegro,85,,Vila Bandeirantes,Almeida,PR,False,False,False,26
Dra. Juliana Campos,DRA. JULIANA CAMPOS,,,1975-10-13,57042089162,288237320,2000-05-15,SSP,RJ,Arthur Gabriel Borges,3,ksiqueira@example.com,+55 61 7476-8708,+55 42 96971 4609,63097729,Lagoa de Camargo,36,,Gameleira,Sales das Flores,PR,True,False,False,26
Heitor Garcia,HEITOR GARCIA,,,1974-04-18,53842713029,252225121,1996-08-05,SSP,PR,Yasmin Lopes,3,alicia60@example.com,41 4901-3907,+55 24 95398-5941,04006158,Estrada Gustavo Moura,7,,Santo Agostinho,da Rosa Verde,SP,False,False,False,26
Laura Cardoso,LAURA CARDOSO,,,2003-05-24,75189429920,396608686,2003-01-12,IFP,RJ,Cecília Câmara,5,tcostela@example.org,+55 71 7255 8214,+55 46 9 2487-6549,53837-364,Viaduto de Barbosa,12,,Copacabana,Fonseca,PR,False,False,False,26
Ayla Cassiano,AYLA CASSIANO,,,1993-05-05,49625554483,590555796,1998-08-05,IFP,SP,Laís Jesus,7,milena98@example.net,(084) 8376 7747,+55 33 96543 4473,42412-996,Residencial de Araújo,293,,São Benedito,Nunes Grande,RJ,False,False,False,26
Liam Nascimento,LIAM NASCIMENTO,,,1966-02-19,31439876185,448526443,1997-02-20,OAB,SP,Olivia Guerra,7,barbara74@example.net,+55 (041) 2561 9733,+55 44 95914 4437,47939864,Vereda Correia,6,,Custodinha,Cunha,RJ,False,False,False,26
Sra. Vitória Gomes,SRA. VITÓRIA GOMES,,,1946-11-11,25540089065,,,,,Bianca Pacheco,3,novaisdavi-miguel@example.com,+55 61 0318 3000,+55 91 9 5575-1923,03197-894,Praça Correia,45,,Acaba Mundo,Rios de Barbosa,PR,False,False,False,26
Esther Macedo,ESTHER MACEDO,Catarina Farias,CATARINA FARIAS,1978-01-26,11951637380,741306001,1998-11-21,OAB,SP,Pedro Lucas Sá,2,henry-gabriel49@example.com,(081) 5745 9265,+55 00 98304-3820,82634-683,Aeroporto de Campos,150,,Santa Sofia,Pimenta,RJ,False,False,False,26
Ravy Moura,RAVY MOURA,,,2004-09-02,09753169159,750598551,1995-02-03,IFP,PR,Júlia da Cruz,3,zmacedo@example.net,(051) 1623 7439,+55 (23) 91556-7955,46110278,Favela Aparecida,48,,Novo Aarão Reis,Pinto,SP,False,False,False,26
Calebe Pires,CALEBE PIRES,Caleb Cirino,CALEB CIRINO,1965-05-04,84685857933,916047887,2000-05-21,IFP,SP,Sr. Henry Gabriel Alves,3,egoncalves@example.com,+55 (051) 1397-8337,+55 72 93372-9644,87428-480,Distrito Mariana Cirino,799,,Barão Homem De Melo 3ª Seção,Barros Verde,RS,False,False,False,26
Yago Gonçalves,YAGO GONÇALVES,,,1961-03-28,60500381550,,,,,Augusto Campos,7,joaomoraes@example.org,+55 (021) 5014-2724,+55 49 9 2252-0702,69504-618,Travessa Isaac Araújo,67,,Canadá,Macedo de Oliveira,MG,False,False,False,26
Luna Gonçalves,LUNA GONÇALVES,Dr. Ravi Aparecida,DR. RAVI APARECIDA,2004-06-07,73129288546,,,,,Arthur Miguel Fogaça,5,vribeiro@example.net,+55 (011) 2377 2181,+55 60 94055 2883,48802-005,Fazenda Silveira,66,,Minas Caixa,Ribeiro,RJ,False,False,False,26
Anthony Marques,ANTHONY MARQUES,Julia Câmara,JULIA CÂMARA,1985-09-03,52607532329,349116224,2002-06-27,SSP,MG,Enzo Gabriel Moreira,5,aliceda-cunha@example.net,+55 41 2686 8481,+55 (22) 99116 6401,58871306,Estrada Pimenta,6,,Mirante,Correia do Norte,SP,False,False,False,26
Ísis Gomes,ÍSIS GOMES,,,1953-05-09,68213605535,900657999,1996-04-18,DETRAN,MG,Antony Siqueira,7,jda-cunha@example.com,+55 61 3328-2318,+55 21 92342-5555,77395-372,Estrada de Gomes,63,,Tiradentes,Aparecida de Correia,RS,False,False,False,26
Isadora Costa,ISADORA COSTA,Emanuella Câmara,EMANUELLA CÂMARA,1997-04-21,75504760631,715548998,2000-05-22,IFP,RJ,Nicole Moreira,2,da-cruzluiz-felipe@example.net,(011) 6308-3154,+55 23 9 3196-8994,76688-403,Trevo Diogo da Conceição,64,,Nova Gameleira,Guerra do Amparo,PR,False,False,False,26
Dra. Mariane Brito,DRA. MARIANE BRITO,,,1958-09-22,36560879380,,,,,Maria Clara Fogaça,6,henry89@example.net,(081) 2407 9642,+55 (076) 93146 6598,70755-007,Praia da Cruz,70,,Vila Santa Monica 1ª Seção,Peixoto,MG,False,False,False,26
Emanuella Pires,EMANUELLA PIRES,,,1945-02-06,33522201400,682329963,2003-08-07,IFP,MG,Yago Abreu,4,yasmin59@example.com,41 1542 5484,+55 (84) 9 2428-9558,97036866,Recanto de Melo,70,,Vila Real 1ª Seção,Marques da Prata,PR,False,False,False,26
Benjamim Vasconcelos,BENJAMIM VASCONCELOS,,,1963-09-27,07263672570,376140831,2004-03-30,IFP,MG,Joana Viana,3,caua81@example.net,0800-607-8429,+55 (62) 90146-3670,47012-952,Estrada Rodrigues,88,,Nova Cachoeirinha,Santos,RS,False,False,False,26
Maria Eduarda Castro,MARIA EDUARDA CASTRO,,,1948-11-07,22110516933,540133440,2004-03-09,IFP,RJ,Anthony Gabriel Cardoso,4,jcaldeira@example.org,+55 (041) 0615 3578,+55 (96) 9 9309-8528,81557-648,Largo Miguel Novaes,83,,Vila Da Ária,Vasconcelos,SP,False,False,False,26
Maysa Lima,MAYSA LIMA,,,1962-04-14,03193210102,109535486,1995-07-14,DETRAN,RS,Cauã Vieira,4,fernandesfrancisco@example.org,+55 31 4242-5853,+55 (036) 96441 7583,73734-272,Trevo das Neves,339,,Santa Margarida,Gonçalves Grande,RS,False,False,False,26
Aurora Martins,AURORA MARTINS,,,1994-02-25,04460579596,477443806,2004-01-18,SSP,MG,Isabelly Siqueira,6,hadassa28@example.org,+55 51 1320 7897,+55 (021) 92315-3182,53798407,Loteamento da Mata,96,,Vila Cemig,Vargas Verde,RS,True,False,False,27
Srta. Lunna Nogueira,SRTA. LUNNA NOGUEIRA,Sra. Sarah da Conceição,SRA. SARAH DA CONCEIÇÃO,1957-04-02,49727540953,126311293,1996-01-19,SSP,SP,Letícia Carvalho,4,tdas-neves@example.org,+55 (021) 0260-9942,+55 85 93877 6162,12330995,Loteamento Júlia Cardoso,82,,Beija Flor,Borges,PR,False,False,False,27
Gael Pastor,GAEL PASTOR,,,1983-07-05,32031803085,694770326,1996-01-06,DETRAN,MG,Daniel Cavalcante,6,eloah85@example.com,(021) 7535-0561,+55 85 92313 4326,17608772,Sítio da Conceição,47,,Paulo Vi,Garcia de Silva,RJ,False,False,False,27
Ágatha Monteiro,ÁGATHA MONTEIRO,,,1989-11-16,41767230419,513444124,1999-11-01,OAB,RJ,Sr. Erick Oliveira,3,ida-luz@example.net,+55 31 7099-2846,+55 37 9 9901 7910,61421159,Estação de Almeida,56,,São Jorge 3ª Seção,Barbosa,PR,True,False,False,27
Rafael Silva,RAFAEL SILVA,,,1965-08-30,03745195019,134595728,2002-05-09,DETRAN,PR,Luiz Miguel Garcia,3,juan97@example.org,+55 84 2446 2294,+55 (66) 90366 6908,51353557,Campo Luiz Fernando Vargas,42,,Estrela Do Oriente,Peixoto de Minas,RJ,False,False,False,27
Julia Freitas,JULIA FREITAS,,,1978-01-29,58230824100,793112764,1999-04-12,DETRAN,PR,Sra. Laura Pacheco,7,levifogaca@example.com,(061) 7499 2864,+55 (63) 9 7294 0151,52199917,Esplanada Maria Fernanda da Conceição,63,,Vila São Geraldo,Novaes,RJ,False,False,False,27
Levi Gomes,LEVI GOMES,Srta. Luara Pacheco,SRTA. LUARA PACHECO,1964-06-08,18772106921,709506044,1995-05-06,DETRAN,RS,Ravi Campos,7,da-costaluiz-felipe@example.net,+55 (051) 4233 3597,+55 75 9 5444-1302,74275474,Rodovia Camargo,2,,Lorena,Sales de Mendonça,PR,False,True,False,27
Dr. José da Cruz,DR. JOSÉ DA CRUZ,,,1992-02-23,07105145226,920862106,2002-10-10,OAB,SP,Ágatha Castro,7,rodriguesgiovanna@example.net,+55 (051) 2976-8702,+55 (31) 9 9452-5434,23161513,Esplanada Luiz Henrique Almeida,75,,Barão Homem De Melo 3ª Seção,Ribeiro de Cavalcante,PR,False,False,False,27
Marcela Camargo,MARCELA CAMARGO,,,1974-07-08,89439723777,827514089,2003-02-12,SSP,RS,Sr. João Guilherme Cavalcante,7,da-conceicaopietro@example.net,+55 (021) 9242-6206,+55 (29) 94590 0791,80586857,Sítio Ester Nunes,4,,Vila Do Pombal,Câmara da Prata,MG,True,False,False,27
Thales Cavalcante,THALES CAVALCANTE,,,2005-06-07,65488154086,254122272,1999-06-21,DETRAN,RJ,Luiz Felipe Cunha,3,ramosgabriela@example.org,0300 205 6065,+55 (087) 91749 5920,27367490,Distrito da Luz,95,,Vila Jardim Montanhes,Monteiro de Novais,RJ,True,True,False,27
Srta. Gabriela Lopes,SRTA. GABRIELA LOPES,,,2008-07-27,03199616135,291391571,2003-06-22,OAB,PR,Fernando Pinto,4,pcirino@example.com,51 4870 1687,+55 (90) 94040-1514,19869-683,Praia Julia Borges,67,,Atila De Paiva,Carvalho do Amparo,MG,True,False,False,27
Dr. João Guilherme Cunha,DR. JOÃO GUILHERME CUNHA,Sra. Maria Sophia Siqueira,SRA. MARIA SOPHIA SIQUEIRA,2010-01-30,63694424377,341318369,2002-01-05,OAB,RS,José Miguel Mendes,5,jesuscarlos-eduardo@example.org,+55 11 7333-3478,+55 (34) 9 3030 2531,91091678,Via da Rocha,29,,Ambrosina,Silveira da Mata,SP,False,True,False,27
Anthony da Rocha,ANTHONY DA ROCHA,,,1958-03-06,76515567553,359502430,2001-08-21,SSP,MG,Davi Miguel Castro,4,isaque04@example.com,(021) 7457-3893,+55 25 9 1822 5640,12188498,Trecho de Azevedo,15,,Vila Cloris,Ferreira do Norte,PR,False,False,False,27
Fernanda Silva,FERNANDA SILVA,,,1988-03-16,89570327111,874461038,2003-12-25,OAB,MG,Srta. Ana Vitória Lima,5,theo33@example.net,(041) 6767-4386,+55 (18) 92486-2737,15514943,Vale Arthur Farias,503,,Vila Nova Cachoeirinha 3ª Seção,Novais,PR,False,False,False,27
Antony Moreira,ANTONY MOREIRA,,,1987-03-22,70876924704,516358326,1999-04-03,IFP,PR,Otto Sampaio,6,maria-liz91@example.net,51 5620 2048,+55 (072) 93934 8687,86238605,Colônia de Rodrigues,62,,Venda Nova,Oliveira do Oeste,MG,False,False,False,27
Arthur Gabriel Andrade,ARTHUR GABRIEL ANDRADE,Emanuel Silva,EMANUEL SILVA,1957-10-14,54661073444,412980696,2001-09-02,OAB,PR,Theodoro da Rosa,4,nathan11@example.com,+55 81 0810 2467,+55 22 95008 1034,31821672,Praça Nogueira,47,,Frei Leopoldo,Aparecida,MG,False,False,False,27
Benjamin Caldeira,BENJAMIN CALDEIRA,,,1950-04-09,64204806805,771068031,2006-03-30,IFP,PR,Lara Vieira,4,heloisa93@example.net,+55 (021) 2495-9266,+55 (12) 94158-5645,23964802,Morro Luiz Otávio Mendes,76,,Ventosa,Andrade de Ribeiro,PR,True,False,False,27
